event,window,faults,total,fault_rate_pct,ref_majority,ref_maj_count,tally_final
0x000c,512,0,999488,0.0000,3,503,512
0x000c,1024,0,998976,0.0000,3,1002,1024
0x000c,2048,0,997952,0.0000,3,2000,2048
0x000d,8,0,999992,0.0000,1,8,8
0x000d,16,0,999984,0.0000,1,16,16
0x000d,32,0,999968,0.0000,1,32,32
0x000d,48,0,999952,0.0000,1,48,48
0x000d,64,0,999936,0.0000,1,64,64
0x000d,128,0,999872,0.0000,1,128,128
0x000d,256,0,999744,0.0000,1,256,256
0x000d,512,0,999488,0.0000,1,512,512
0x000d,1024,0,998976,0.0000,1,1024,1024
0x000d,2048,0,997952,0.0000,1,2048,2048
0x000e,8,0,999992,0.0000,0,8,8
0x000e,16,0,999984,0.0000,0,16,16
0x000e,32,0,999968,0.0000,0,32,32
0x000e,48,0,999952,0.0000,0,48,48
0x000e,64,0,999936,0.0000,0,64,64
0x000e,128,0,999872,0.0000,0,128,128
0x000e,256,0,999744,0.0000,0,256,256
0x000e,512,0,999488,0.0000,0,512,512
0x000e,1024,0,998976,0.0000,0,1024,1024
0x000e,2048,0,997952,0.0000,0,2048,2048
0x000f,8,0,999992,0.0000,0,8,8
0x000f,16,0,999984,0.0000,0,16,16
0x000f,32,0,999968,0.0000,0,32,32
0x000f,48,0,999952,0.0000,0,48,48
0x000f,64,0,999936,0.0000,0,64,64
0x000f,128,0,999872,0.0000,0,128,128
0x000f,256,0,999744,0.0000,0,256,256
0x000f,512,0,999488,0.0000,0,512,512
0x000f,1024,0,998976,0.0000,0,1024,1024
0x000f,2048,0,997952,0.0000,0,2048,2048
0x0010,8,0,999992,0.0000,1,8,8
0x0010,16,0,999984,0.0000,1,16,16
0x0010,32,0,999968,0.0000,1,32,32
0x0010,48,0,999952,0.0000,1,48,48
0x0010,64,0,999936,0.0000,1,64,64
0x0010,128,0,999872,0.0000,1,128,128
0x0010,256,0,999744,0.0000,1,256,256
0x0010,512,0,999488,0.0000,1,510,512
0x0010,1024,0,998976,0.0000,1,1022,1024
0x0010,2048,0,997952,0.0000,1,2045,2048
0x0011,8,0,999992,0.0000,1,8,8
0x0011,16,0,999984,0.0000,1,16,16
0x0011,32,0,999968,0.0000,1,32,32
0x0011,48,0,999952,0.0000,1,48,48
0x0011,64,0,999936,0.0000,1,64,64
0x0011,128,0,999872,0.0000,1,127,128
0x0011,256,0,999744,0.0000,1,255,256
0x0011,512,0,999488,0.0000,1,511,512
0x0011,1024,0,998976,0.0000,1,1022,1024
0x0011,2048,0,997952,0.0000,1,2045,2048
0x0012,8,0,999992,0.0000,1,8,8
0x0012,16,0,999984,0.0000,1,16,16
0x0012,32,0,999968,0.0000,1,32,32
0x0012,48,0,999952,0.0000,1,48,48
0x0012,64,0,999936,0.0000,1,64,64
0x0012,128,0,999872,0.0000,1,128,128
0x0012,256,0,999744,0.0000,1,256,256
0x0012,512,0,999488,0.0000,1,512,512
0x0012,1024,0,998976,0.0000,1,1022,1024
0x0012,2048,0,997952,0.0000,1,2042,2048
0x0013,8,0,999992,0.0000,0,8,8
0x0013,16,0,999984,0.0000,0,16,16
0x0013,32,0,999968,0.0000,0,32,32
0x0013,48,0,999952,0.0000,0,48,48
0x0013,64,0,999936,0.0000,0,64,64
0x0013,128,0,999872,0.0000,0,128,128
0x0013,256,0,999744,0.0000,0,256,256
0x0013,512,0,999488,0.0000,0,512,512
0x0013,1024,0,998976,0.0000,0,1024,1024
0x0013,2048,0,997952,0.0000,0,2048,2048
0x0014,8,0,999992,0.0000,3,8,8
0x0014,16,0,999984,0.0000,3,16,16
0x0014,32,0,999968,0.0000,3,32,32
0x0014,48,0,999952,0.0000,3,48,48
0x0014,64,0,999936,0.0000,3,64,64
0x0014,128,0,999872,0.0000,3,128,128
0x0014,256,0,999744,0.0000,3,256,256
0x0014,512,0,999488,0.0000,3,512,512
0x0014,1024,0,998976,0.0000,3,1024,1024
0x0014,2048,0,997952,0.0000,3,2047,2048
0x0015,8,0,999992,0.0000,0,8,8
0x0015,16,0,999984,0.0000,0,16,16
0x0015,32,0,999968,0.0000,0,32,32
0x0015,48,0,999952,0.0000,0,48,48
0x0015,64,0,999936,0.0000,0,64,64
0x0015,128,0,999872,0.0000,0,128,128
