encoding,opcode,mnemonic,recognised,attributed_to,vendor_only,broad_mnemonic,broad_ext,active,n_events_deviating,lax_decode_of,verdict,recognised_zfh_incl,recognised_zfh_excl,zfh_only,reserved_rm,reserved_rm_zfh,arch_fault
0x72005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x72006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x72007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x72007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x7400000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x7400100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x7600000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x7600100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x7800000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x78000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x7800100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x7800400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x78005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x78006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x78007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x78007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x7a00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x7a000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x7a00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x7a00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x7a005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7a006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7a007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7a007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x7c00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x7c000027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0x7c00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x7c00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x7c005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7c006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7c007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7c007027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0x7e00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x7e000027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0x7e00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x7e00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x7e005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7e006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7e007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x7e007027,39,,False,,False,,,True,6,,undocumented_active,False,False,False,False,False,sigill
0x8000000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8000100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8000602f,47,,False,,False,th.vamominw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8000702f,47,,False,,False,th.vamomind.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8200000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8200100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8200602f,47,,False,,False,th.vamominw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8200702f,47,,False,,False,th.vamomind.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8400000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8400100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8400602f,47,,False,,False,th.vamominw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8400702f,47,,False,,False,th.vamomind.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8600000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8600100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8600602f,47,,False,,False,th.vamominw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8600702f,47,,False,,False,th.vamomind.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x8800000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8800100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8800400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x8a00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8a00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8a00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x8c00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8c00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8c00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x8e00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x8e00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x8e00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x9000000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x90000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9000100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x90005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x90006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x90007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x90007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9200000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x92000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9200100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x92005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x92006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x92007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x92007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9400000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x9400100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x9600000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x9600100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x9800000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0x98000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0x9800100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x9800400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x98005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x98006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0x98007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
